"V1","V2","V3","V4","V5","V6","V7"
0.010732940581787,0.00594190366887201,0.00427993984990124,0.009,0.011,0.0135,0.266333333333333
0.00915202307936449,0.00537396248913024,0.00610292836008912,0.011,0.0155,0.0165,0.2765
0.0108600096410593,0.00735135862445574,0.0064201410510362,0.0165,0.025,0.018,0.356833333333333
0.0102547053460493,0.00450081980187198,0.00501182607050437,0.008,0.0125,0.014,0.263833333333333
0.00808685718921577,0.00433158974458082,0.00346880936527644,0.0025,0.0075,0.0095,0.212166666666667
0.0111454243496264,0.00495749971275071,0.00399456186319323,0.006,0.011,0.016,0.257166666666667
0.011033590850268,0.00793960488393743,0.00563623466737041,0.0185,0.024,0.0265,0.334666666666667
0.0116577852562162,0.00682232564977757,0.00378233914103773,0.0095,0.011,0.015,0.261166666666667
0.0108423350262121,0.00823357876600728,0.00594563288257958,0.0135,0.0195,0.0235,0.313333333333333
0.0127397001321074,0.00713973097432346,0.00718415524522699,0.014,0.0235,0.024,0.349333333333333
0.014995905839872,0.0112453928278442,0.0102370625882509,0.0235,0.022,0.0315,0.383
0.00973020886768077,0.00792702300663194,0.00821626227288794,0.0115,0.021,0.025,0.348833333333333
0.010675473959154,0.00748292117127948,0.00523060063803456,0.0145,0.0255,0.0205,0.310333333333333
0.0107288930686887,0.00625981708477879,0.00594104856691406,0.013,0.014,0.0235,0.2975
0.0143517771925068,0.00608415959930383,0.0050488025420316,0.017,0.016,0.0275,0.308666666666667
0.0128215633011592,0.00792242411908308,0.00526759754974509,0.0125,0.0205,0.0225,0.318333333333333
0.0109041887767069,0.00518464751251496,0.00529289804737295,0.0105,0.0095,0.022,0.259333333333333
0.011251915900369,0.0090610102134279,0.00888658644403243,0.015,0.026,0.0275,0.339833333333333
0.0140432941497951,0.00869207029322674,0.00589516312188015,0.0105,0.02,0.018,0.309166666666667
0.0101084760554778,0.00522969737093114,0.00428603708600618,0.013,0.011,0.0215,0.291166666666667
0.0138194076924643,0.006839203223424,0.00712476601479005,0.0145,0.0235,0.0295,0.337
0.0162411723795392,0.0104351203266377,0.00911898897059299,0.0215,0.036,0.0315,0.396
0.0122022890594223,0.00868218884438165,0.00763777788308018,0.021,0.0215,0.0275,0.355666666666667
0.014224961072073,0.00887142992951351,0.00593027364406246,0.0125,0.0215,0.0235,0.343666666666667
0.0140506027466047,0.00914647834627355,0.0081286100756522,0.013,0.0235,0.0295,0.368
0.0178589247069777,0.00729335893050845,0.00828052271752603,0.0205,0.0225,0.023,0.365833333333333
0.0115300432962693,0.0110328552402214,0.00759663418894625,0.014,0.025,0.032,0.364333333333333
0.00935468479742175,0.00442117688144911,0.00246106366161311,0.0025,0.006,0.005,0.192333333333333
0.0114598567575695,0.00663060868508827,0.00536858214097464,0.013,0.015,0.0265,0.303166666666667
0.0122328471231997,0.00568382365709518,0.00593046163541106,0.0165,0.016,0.0225,0.328833333333333
0.0155099711142741,0.00959323021745755,0.00864873703180969,0.0195,0.0315,0.0335,0.376166666666667
0.0120815122429602,0.0098843027789318,0.00930784866096752,0.023,0.027,0.0295,0.392666666666667
0.00636216793737398,0.00454368368674375,0.00378795164440769,5e-04,0.002,0.0065,0.174666666666667
0.0127961467285443,0.00825679938708077,0.00574478511556246,0.0205,0.0225,0.0255,0.33
0.0152547891011175,0.00802567845112301,0.00749727620098156,0.018,0.0225,0.0325,0.3555
0.00833596676041211,0.00532898596653852,0.00462314128526042,0.0105,0.015,0.014,0.2605
0.00952329509282712,0.00514496017437087,0.00606153244750772,0.0145,0.012,0.017,0.2795
0.0137795259798569,0.0086685569540319,0.00721403713614274,0.0185,0.025,0.032,0.352
0.0131106332993536,0.00691190255319168,0.00915687122452232,0.016,0.022,0.029,0.383666666666667
0.00989514501765532,0.00638808654833068,0.00319646964881605,0.0035,0.0135,0.016,0.254666666666667
0.0101944201283248,0.00671897489989814,0.00540639824629897,0.0115,0.0155,0.0155,0.283666666666667
0.0061512474531287,0.0062194302258511,0.00588095316716081,0.012,0.013,0.02,0.297833333333333
0.0122100169249064,0.00725073325895254,0.00893106006366985,0.0165,0.018,0.028,0.377
0.00981717863169224,0.00718582178933026,0.00370471116749859,0.0135,0.0165,0.017,0.2905
0.0112159223726233,0.00557331571129565,0.00798786814891658,0.018,0.0145,0.028,0.324833333333333
0.0117324116794724,0.00474959634975661,0.0029562851566423,0.0025,0.009,0.0105,0.216166666666667
0.00658125753215039,0.00478220764856005,0.00466973592875379,0.0015,0.0035,0.003,0.161666666666667
0.0122123814550711,0.0104138295835427,0.00920955344545379,0.018,0.025,0.033,0.3655
0.010437882363109,0.00618260357796426,0.00680566818367819,0.0135,0.0195,0.0265,0.278666666666667
0.00901631167234595,0.00682638842558371,0.00608835290649383,0.01,0.0145,0.027,0.295833333333333
0.00761561456671035,0.00278545176435286,0.00266430759030347,0.002,0.0035,0.002,0.1725
0.0129794105603176,0.00709328907387952,0.00527233723998834,0.013,0.0185,0.023,0.290833333333333
0.0160052729436315,0.0101546166616549,0.00658929048879827,0.019,0.0185,0.0255,0.344166666666667
0.0184858199667234,0.00810279690170216,0.00876544190125328,0.0165,0.019,0.0245,0.353166666666667
0.0151752283890776,0.0105306365950391,0.00937633531350835,0.0225,0.03,0.035,0.379166666666667
0.0123130367639947,0.00680425328541816,0.00701425202596687,0.0215,0.0185,0.0255,0.337833333333333
0.00416297616074402,0.0050709610330146,0.00512228416875332,0,0,0.002,0.146166666666667
0.0112866554678024,0.00572222683407415,0.00547734138512371,0.0205,0.0185,0.0195,0.331333333333333
0.0136875086047726,0.00893540285277277,0.00866950673094342,0.019,0.02,0.0315,0.370333333333333
0.0130892528995468,0.00860355170442833,0.0106405643993984,0.0165,0.02,0.029,0.366833333333333
0.00505458472388417,0.00574696585084635,0.00309184251594966,0.001,0.0055,0.0095,0.1905
0.00879767974555291,0.00501238769272839,0.00379441307309814,0.012,0.017,0.016,0.269
0.0148974083384187,0.0128489669422104,0.0104458064475523,0.0275,0.03,0.028,0.392166666666667
0.00722341497787926,0.0053310188092331,0.00331704564259509,0.001,0.004,0.003,0.177333333333333
0.0148258675925391,0.0106049829737686,0.00822038862565867,0.029,0.029,0.036,0.387833333333333
0.014952623214528,0.00814279440167771,0.00614220243580019,0.017,0.024,0.0245,0.363833333333333
0.00838978725376078,0.00445390103117012,0.00463726559095066,0.01,0.0125,0.0115,0.248333333333333
