"V1","V2","V3","V4","V5","V6","V7"
0.0401084061409439,0.0241091269936565,0.0198314397055689,0.045,0.061,0.069,0.523666666666667
0.0357146639754484,0.0255285812875088,0.02181394064996,0.064,0.0695,0.094,0.551333333333333
0.00457101064228811,0.002256847682883,0.00198214328279576,0.004,0.0095,0.007,0.1935
0.0393719388800656,0.0261683896057515,0.016159768262299,0.0555,0.0835,0.085,0.553
0.0349041150623074,0.0250959080588423,0.0176449207132438,0.035,0.059,0.054,0.4975
0.0195842289604543,0.0152902110441359,0.0151551906981584,0.021,0.027,0.028,0.385666666666667
0.0127270525827125,0.01035303859379,0.00751989977930704,0.022,0.026,0.026,0.360166666666667
0.0185741585530294,0.0124631123870556,0.00602337944496827,0.018,0.0255,0.0205,0.3495
0.0320843661912105,0.020130599575762,0.0195972858000146,0.063,0.088,0.077,0.544166666666667
0.0686438966092121,0.0505895825285856,0.0427716622891375,0.198,0.24,0.2265,0.788666666666667
0.0271265962370138,0.0251413418853696,0.0225379910361596,0.094,0.111,0.105,0.6105
0.0717388269343684,0.0489833428931547,0.0411356323660976,0.1805,0.2225,0.26,0.783166666666667
0.0252236882921271,0.0151636503355782,0.0135194676926201,0.0335,0.047,0.0565,0.448666666666667
0.0643627979305963,0.048158702271219,0.0329203622033099,0.1315,0.1545,0.173,0.7025
0.0001443402064968,0.000111582861582862,0.000220154845154845,0,5e-04,5e-04,0.0648333333333333
0.00541028841363663,0.00248949117745946,0.00242444421424535,0.006,0.004,0.004,0.199
0.0212857356245893,0.01251010459061,0.00900217085180455,0.0185,0.0295,0.0375,0.393
0.0225105335493931,0.0212440419259026,0.016759841441554,0.036,0.0545,0.061,0.499333333333333
0.0151867746076675,0.0107544628354373,0.00645704995663631,0.0145,0.022,0.0255,0.338166666666667
0.0303231246313318,0.0138069970420285,0.0112644898433851,0.0265,0.0345,0.037,0.407
0.0223313885558708,0.00799746272325589,0.00925348422116758,0.025,0.035,0.038,0.397333333333333
0.00624218059458163,0.0030646873382211,0.00563720463083694,0.0145,0.0135,0.014,0.2735
0.0541718197836746,0.0347447199778013,0.0342638026897453,0.1375,0.1685,0.188,0.724166666666667
0.0747286622919968,0.0490679124831321,0.0405910487650515,0.1955,0.2445,0.2525,0.792833333333333
0.0498979299349663,0.0311993468755363,0.030181115753292,0.1355,0.16,0.1695,0.703833333333333
0.0229902050505965,0.0168920075232816,0.0152414751633332,0.0615,0.0825,0.066,0.501166666666667
0.0448191156467513,0.0294606547666022,0.0289158282536636,0.102,0.1205,0.144,0.660166666666667
0.0188205162918653,0.0159505780651666,0.0142835693481279,0.0155,0.0145,0.02,0.352666666666667
0.0076158456179763,0.00321922376130147,0.00378830603788979,0.014,0.0135,0.02,0.256666666666667
0.0179312111304208,0.0117092772161862,0.0130347343520207,0.04,0.04,0.0435,0.406833333333333
0.0341552781576196,0.0302632215208779,0.0282846402440114,0.039,0.0355,0.04,0.4965
0.00114554919046802,0.00128161604878638,0.00158565767345529,0.0025,0.0015,0.0035,0.130333333333333
0,0.000357683982683983,0.000404012654012654,0,0.001,0.001,0.0443333333333333
0.0364233691521922,0.0268706422392196,0.0201796727751242,0.0625,0.0735,0.082,0.549
0.00081618844754147,0.000127955377955378,0.000888619050363556,0.001,5e-04,0.0015,0.100666666666667
0.0713861585001283,0.0418611443785437,0.0337753317710682,0.1185,0.1475,0.165,0.707166666666667
0.0182035725673344,0.0128443211297388,0.0136734843014891,0.029,0.0375,0.036,0.408833333333333
0.00770795900235034,0.00825091687886705,0.00607992428600987,0.0185,0.025,0.0175,0.314833333333333
0.0336077941804345,0.0284624358359963,0.03044951347265,0.11,0.1435,0.144,0.650833333333333
0.0199456186968102,0.00798106958110309,0.00692949608123497,0.0115,0.018,0.028,0.333333333333333
0.0152264108069483,0.00912502983497614,0.00783443169012787,0.0195,0.023,0.0275,0.343
0.0165298104240213,0.0111309103283173,0.0076886910993725,0.021,0.033,0.0345,0.391
0.00215419429055793,0.00138426820778844,0.00151822386968491,0.0045,0.0035,0.003,0.147333333333333
0.0170570934292117,0.0114382853108114,0.0133081756079157,0.018,0.019,0.0245,0.366
0.0184941325601915,0.0130217332004539,0.00980779515640592,0.0275,0.0335,0.043,0.419166666666667
0,0,0,0,0,0,0.00383333333333333
