"V1","V2","V3","V4","V5","V6","V7","V8"
0.159602931796049,0.102643173500139,0.0686688955997544,0.121,0.1615,0.199,0.0992944444444444,0.842083333333333
0.154624201494584,0.097644790816258,0.0662984704333327,0.136,0.168,0.187,0.101413888888889,0.841833333333333
0.186505505943159,0.113724888768462,0.0680902096589678,0.075,0.106,0.147,0.0189444444444444,0.861583333333333
0.163546438918694,0.0981146367490719,0.0635039321786935,0.126,0.156,0.1835,0.0870555555555556,0.837666666666667
0.159868530931893,0.103270908588912,0.0613521926804788,0.1555,0.1975,0.206,0.120652777777778,0.845916666666667
0.162890823692952,0.103062337451679,0.0620876713845787,0.1225,0.168,0.1905,0.0848444444444444,0.841833333333333
0.177619157527031,0.104074663126811,0.0655698833055234,0.0735,0.1495,0.159,0.0400333333333333,0.848416666666667
0.163705537811159,0.104424415809571,0.0611074549153032,0.0905,0.153,0.185,0.0504277777777778,0.846666666666667
0.155337660272932,0.0989305368825345,0.0669516748918092,0.116,0.182,0.1935,0.0921416666666667,0.837833333333333
0.160310877257559,0.0973033864432371,0.0703108390137377,0.15,0.1915,0.221,0.118155555555556,0.846333333333333
0.152070297216358,0.102149938034745,0.0654346848890979,0.1275,0.1735,0.2065,0.0996111111111111,0.846
0.157654588524913,0.0968693493446042,0.0628751688998555,0.132,0.186,0.198,0.11189880952381,0.83475
0.181421775678965,0.102049173184881,0.062592640072254,0.0935,0.145,0.171,0.0545611111111111,0.844583333333333
0.153173009053764,0.101398944314903,0.0653977161618852,0.1425,0.1915,0.211,0.118127777777778,0.841583333333333
0.202709447560524,0.100268088115111,0.0689210631758452,0.064,0.1205,0.1515,0.00902777777777778,0.856083333333333
0.193463731508522,0.109058368373677,0.0746693319112245,0.0895,0.1365,0.1655,0.0366722222222222,0.857666666666667
0.17989770748393,0.101602409028265,0.064700556329751,0.0905,0.149,0.182,0.0529,0.845916666666667
0.172114819743929,0.103532242784465,0.0698390814420122,0.0875,0.139,0.1725,0.0520611111111111,0.851
0.170442359318017,0.118711629061598,0.062210406690179,0.0895,0.149,0.1845,0.0398611111111111,0.855583333333333
